# /home/xozidok/work/codes/contra/contra 0 1 1 1 0 9.56 0 0.032 0.0134 0 1
# Standard model of Adiabatic Contraction
# Dark matter profile: Navarro, Frenk & White (1997) model, c=9.56
# Baryon distribution: Exponential model, fb=0.032 rb=0.0134
# Tracer population: Exponential model with isotropic velocity distribution
# los velocity dispersion integrated out to 3 R_vir
#
# r_i       r_f       m_i       m_f       rho_i     rho_f   gam_i gam_f   v_circ  sigma_los
1.995e-02 1.185e-02 9.595e-03 2.161e-02 1.714e+02 3.174e+02 1.320 1.789 1.336e+00 8.726e-01
2.239e-02 1.344e-02 1.177e-02 2.552e-02 1.470e+02 2.574e+02 1.353 1.848 1.361e+00 8.210e-01
2.512e-02 1.526e-02 1.439e-02 2.998e-02 1.255e+02 2.074e+02 1.387 1.905 1.380e+00 7.943e-01
2.818e-02 1.736e-02 1.755e-02 3.504e-02 1.068e+02 1.660e+02 1.424 1.958 1.396e+00 7.668e-01
3.162e-02 1.978e-02 2.134e-02 4.075e-02 9.042e+01 1.322e+02 1.464 2.005 1.407e+00 7.377e-01
3.548e-02 2.260e-02 2.586e-02 4.715e-02 7.621e+01 1.047e+02 1.507 2.044 1.413e+00 7.075e-01
3.981e-02 2.588e-02 3.123e-02 5.430e-02 6.391e+01 8.259e+01 1.551 2.072 1.416e+00 6.772e-01
4.467e-02 2.971e-02 3.757e-02 6.225e-02 5.331e+01 6.499e+01 1.598 2.088 1.414e+00 6.467e-01
5.012e-02 3.420e-02 4.503e-02 7.109e-02 4.422e+01 5.108e+01 1.648 2.093 1.409e+00 6.166e-01
5.623e-02 3.947e-02 5.373e-02 8.090e-02 3.648e+01 4.015e+01 1.699 2.088 1.401e+00 5.865e-01
6.310e-02 4.565e-02 6.385e-02 9.179e-02 2.990e+01 3.160e+01 1.752 2.076 1.391e+00 5.570e-01
7.079e-02 5.287e-02 7.552e-02 1.039e-01 2.436e+01 2.490e+01 1.807 2.063 1.380e+00 5.282e-01
7.943e-02 6.127e-02 8.891e-02 1.174e-01 1.972e+01 1.965e+01 1.863 2.054 1.369e+00 5.004e-01
8.913e-02 7.096e-02 1.042e-01 1.325e-01 1.586e+01 1.551e+01 1.920 2.053 1.357e+00 4.736e-01
1.000e-01 8.203e-02 1.215e-01 1.492e-01 1.267e+01 1.224e+01 1.978 2.065 1.346e+00 4.479e-01
1.122e-01 9.458e-02 1.409e-01 1.679e-01 1.006e+01 9.638e+00 2.035 2.087 1.335e+00 4.232e-01
1.259e-01 1.087e-01 1.626e-01 1.887e-01 7.933e+00 7.566e+00 2.092 2.120 1.324e+00 3.996e-01
1.413e-01 1.246e-01 1.867e-01 2.117e-01 6.214e+00 5.914e+00 2.149 2.159 1.313e+00 3.770e-01
1.585e-01 1.424e-01 2.133e-01 2.370e-01 4.837e+00 4.601e+00 2.205 2.203 1.303e+00 3.552e-01
1.778e-01 1.623e-01 2.425e-01 2.647e-01 3.741e+00 3.561e+00 2.259 2.250 1.292e+00 3.344e-01
1.995e-01 1.846e-01 2.742e-01 2.949e-01 2.875e+00 2.741e+00 2.312 2.297 1.280e+00 3.143e-01
2.239e-01 2.095e-01 3.085e-01 3.277e-01 2.197e+00 2.098e+00 2.363 2.345 1.268e+00 2.951e-01
2.512e-01 2.375e-01 3.455e-01 3.630e-01 1.669e+00 1.597e+00 2.412 2.392 1.254e+00 2.766e-01
2.818e-01 2.688e-01 3.851e-01 4.009e-01 1.261e+00 1.210e+00 2.459 2.437 1.239e+00 2.589e-01
3.162e-01 3.039e-01 4.272e-01 4.414e-01 9.474e-01 9.115e-01 2.503 2.481 1.224e+00 2.419e-01
3.548e-01 3.433e-01 4.717e-01 4.843e-01 7.085e-01 6.833e-01 2.545 2.523 1.206e+00 2.257e-01
3.981e-01 3.874e-01 5.187e-01 5.297e-01 5.274e-01 5.099e-01 2.584 2.563 1.188e+00 2.102e-01
4.467e-01 4.368e-01 5.680e-01 5.774e-01 3.909e-01 3.788e-01 2.620 2.600 1.168e+00 1.954e-01
5.012e-01 4.923e-01 6.195e-01 6.273e-01 2.885e-01 2.802e-01 2.655 2.636 1.147e+00 1.813e-01
5.623e-01 5.546e-01 6.730e-01 6.794e-01 2.121e-01 2.065e-01 2.684 2.666 1.125e+00 1.680e-01
6.310e-01 6.244e-01 7.286e-01 7.336e-01 1.554e-01 1.516e-01 2.722 2.705 1.102e+00 1.554e-01
7.079e-01 7.027e-01 7.860e-01 7.896e-01 1.135e-01 1.109e-01 2.725 2.709 1.077e+00 1.436e-01
7.943e-01 7.906e-01 8.451e-01 8.474e-01 8.273e-02 8.101e-02 2.809 2.794 1.052e+00 1.325e-01
8.913e-01 8.893e-01 9.058e-01 9.069e-01 5.984e-02 5.868e-02 2.716 2.707 1.026e+00 1.220e-01
1.000e+00 1.000e+00 9.680e-01 9.680e-01 4.444e-02 4.361e-02 2.584 2.578 1.000e+00 1.123e-01
