# /home/xozidok/work/codes/contra/contra 0 1 1 1 0 9.86 0 0.075 0.013 0 1
# Standard model of Adiabatic Contraction
# Dark matter profile: Navarro, Frenk & White (1997) model, c=9.86
# Baryon distribution: Exponential model, fb=0.075 rb=0.013
# Tracer population: Exponential model with isotropic velocity distribution
# los velocity dispersion integrated out to 3 R_vir
#
# r_i       r_f       m_i       m_f       rho_i     rho_f   gam_i gam_f   v_circ  sigma_los
1.995e-02 9.408e-03 9.520e-03 3.017e-02 1.695e+02 4.193e+02 1.329 1.926 1.794e+00 1.087e+00
2.239e-02 1.065e-02 1.167e-02 3.529e-02 1.452e+02 3.345e+02 1.362 1.999 1.816e+00 1.049e+00
2.512e-02 1.207e-02 1.426e-02 4.104e-02 1.239e+02 2.646e+02 1.397 2.070 1.831e+00 1.008e+00
2.818e-02 1.369e-02 1.738e-02 4.743e-02 1.053e+02 2.077e+02 1.435 2.139 1.838e+00 9.662e-01
3.162e-02 1.557e-02 2.111e-02 5.450e-02 8.903e+01 1.618e+02 1.475 2.201 1.839e+00 9.228e-01
3.548e-02 1.774e-02 2.556e-02 6.224e-02 7.494e+01 1.252e+02 1.518 2.253 1.831e+00 8.783e-01
3.981e-02 2.027e-02 3.083e-02 7.068e-02 6.275e+01 9.633e+01 1.564 2.293 1.817e+00 8.334e-01
4.467e-02 2.323e-02 3.706e-02 7.983e-02 5.227e+01 7.386e+01 1.612 2.318 1.796e+00 8.142e-01
5.012e-02 2.671e-02 4.436e-02 8.974e-02 4.330e+01 5.653e+01 1.661 2.324 1.770e+00 7.679e-01
5.623e-02 3.083e-02 5.288e-02 1.004e-01 3.565e+01 4.328e+01 1.713 2.314 1.740e+00 6.999e-01
6.310e-02 3.574e-02 6.275e-02 1.120e-01 2.918e+01 3.320e+01 1.767 2.290 1.706e+00 6.573e-01
7.079e-02 4.162e-02 7.413e-02 1.246e-01 2.373e+01 2.555e+01 1.822 2.259 1.670e+00 6.166e-01
7.943e-02 4.868e-02 8.717e-02 1.383e-01 1.918e+01 1.974e+01 1.878 2.228 1.634e+00 5.770e-01
8.913e-02 5.714e-02 1.020e-01 1.533e-01 1.540e+01 1.529e+01 1.935 2.203 1.598e+00 5.397e-01
1.000e-01 6.718e-02 1.188e-01 1.697e-01 1.228e+01 1.188e+01 1.993 2.190 1.563e+00 5.045e-01
1.122e-01 7.896e-02 1.376e-01 1.877e-01 9.732e+00 9.231e+00 2.050 2.192 1.530e+00 4.712e-01
1.259e-01 9.259e-02 1.586e-01 2.075e-01 7.660e+00 7.167e+00 2.108 2.205 1.498e+00 4.402e-01
1.413e-01 1.082e-01 1.818e-01 2.291e-01 5.990e+00 5.553e+00 2.164 2.228 1.467e+00 4.108e-01
1.585e-01 1.259e-01 2.074e-01 2.528e-01 4.654e+00 4.290e+00 2.220 2.258 1.438e+00 3.831e-01
1.778e-01 1.458e-01 2.355e-01 2.786e-01 3.594e+00 3.301e+00 2.274 2.292 1.410e+00 3.571e-01
1.995e-01 1.683e-01 2.659e-01 3.065e-01 2.758e+00 2.530e+00 2.326 2.329 1.383e+00 3.326e-01
